"Every single person who has cancer has a pH that is too acidic.";False
"A video shows a ""Pizzagate"" survivor recounting her story of sexual abuse.";False
"A Tennessee boy died in the arms of a local man portraying Santa Claus during a hospital visit.";unproven
"McDonald's has a burger filled with Nutella.";true
"Panhandling is a lucrative business, averaging an hourly rate of $50.";unproven
"A hot microphone picked up President Obama telling Russian President Dmitri Medvedev he would have more flexibility to negotiate on issues like missile defense after the 2012 election.";True
"Donald Trump said that he believes that the Earth is flat.";FALSE
"Folding a $5 bill in a specific pattern will reveal a secret image of a stack of pancakes.";FALSE
"Astronaut Buzz Aldrin sent a tweet claiming that humanity was in danger, and that a mysterious ""it"" was ""evil itself.""";false
"A video shows a Muslim man kicking a woman down a set of stairs.";UNPROVEN
"Candy canes were created as Christian symbols representing the blood and purity of Jesus.";false
"There are more trees on Earth than there are stars in the Milky Way galaxy.";True
"Congressional Democrats attempted to implement Sharia law by enacting House Resolution 569, a condemnation of violence and bigotry against Muslims.";False
"Police sketches of Madeleine McCann's alleged kidnappers are a perfect match for Tony and John Podesta.";mostly false
"Chapecoense, the soccer team which lost 19 players in a plane crash, was fined for forfeiting their final match.";FALSE
"President-elect Donald Trump said Africans are poor because ""when it rains they think of sex instead of farming.""";false
"A California Senate bill gives the state the right to seize children from their families";false
"The house-flipping couple from the HGTV show ""Flip or Flop"" are divorcing.";unproven
