"Ivanka Trump said that she would ""mace"" her ""father"" during an appearance on a talk show.";FALSE
"Bill Cosby was appointed the Secretary for Women's Rights by president-elect Donald Trump.";FALSE
"A Nigerian infant was born with message written on her hands saying Jesus is coming back.";false
"An activist group has launched a holiday-season boycott against chain retailer Target.";true
"Donald Trump plans to do away with a new regulation put in place by President Obama that expands overtime to more workers.";mixture
"Members of the alt-right group the National Policy Institute can be seen on video doing a Nazi-like salute as speaker Richard Spencer calls out ""Hail Trump, hail our people, hail victory!""";True
"Clint Eastwood refused to accept the Presidential Medal of Freedom from President Obama.";FALSE
"President John F. Kennedy  said that ""nobody can stop an assassination"" just before he was shot and killed in 1963.";unknown
"The Department of Justice (DOJ)'s switchboard is tallying ""Audit the Vote"" calls and if enough people call, 2016 election results can be overturned.";false
"A phone number posted on a ""consumer watchdog"" site belongs to a college loan servicer.";FALSE
"Jellyfish and lobsters are considered biologically immortal, meaning they don’t age and will never die unless they are killed.";Mixture
"A document held by a potential Trump cabinet member reveals his immigration plans.";mixture
"High school students in Texas were reprimanded for a skit depicting the assassination of President-elect Trump.";true
"Hillary Clinton regularly directed her maid Marina Santos to print out classified material despite the fact she lacked proper clearance to do so.";unproven
"The 'Podesta e-mails' revealed the existence of a secret society of pedophiles operating through a pizza place loosely connected to Clinton associate David Brock.";FALSE
"A woman's IQ skyrocketed to an historic 220 after she drank sperm or semen for a year.";false
"The producers of the Broadway musical ""Hamilton"" issued a casting call specifying ""non-white"" actors for auditions.";True
"House Speaker Paul Ryan is conducting a phone survey regarding experiences with the Affordable Care Act.";TRUE
"Daily sea ice data from 1979 to the present show a record-breaking low amount of global sea ice coverage beginning around October 2016.";True
"The House passed a bill that allows government contractors to discriminate against lesbian, gay, bisexual and transgender people.";mostly true
"'Hamilton' actor Brandon Victor Dixon sent a controversial tweet in 2012, uncovered after he delivered an on-stage speech to Vice President-Elect Mike Pence.";true
"Melania Trump said that Native Americans upset about the Dakota Access Pipeline should ""go back to India"".";FALSE
"A photograph shows a threatening letter from a ""neighborhood town watch"" that was widely circulated to Muslims in the United States.";unproven
"A video showing an inconsolable protester wailing because a policeman popped her balloon.";false
"The term ""Black Friday"" originated with the practice of selling off slaves on the day after Thanksgiving.";false
"Time itself is speeding up and we actually perceive a 24-hour day as a 16-hour day.";False
"A very spicy pepper burned a hole through a man's esophagus.";mostly false
"Donald Trump will legalize marijuana in all 50 states.";false
"The European Union ordered reporters to not reporting whether a terrorist is Muslim.";FALSE
"People protesting Donald Trump's presidency will be charged with terrorism under a new law.";MOSTLY FALSE
"President Obama added a record 572 pages of new regulations in one day.";mostly false
"Gap, Inc. stores will feature signs saying ""Merry Christmas"" instead of ""happy holidays.""";UNPROVEN
"Kid Rock was photographed wearing a t-shirt featuring an electoral map in which blue states are labeled ""Dumbfuckistan.""";False
"A photograph shows Donald Trump and Vladimir Putin on a billboard above the words ""Let's make the world great again — together.""";TRUE
"When the Germans ordered Jews in occupied Denmark to identify themselves by wearing armbands with yellow stars during World , King  of Denmark and non-Jewish Danes thwarted the order by donning the armbands themselves.";false
"Monica Petersen was killed after she discovered that the Clinton Foundation was involved in a child sex trafficking ring in Haiti.";UNPROVEN
"The characteristics of stereotypical millennial liberals make them less competitive, because they are in discord with the natural world.";False
"The Communist Party of the USA endorsed Hillary Clinton.";false
"The state of Georgia is enacting legislation making it a crime for Muslim women to wear head coverings.";mixture
"Donald Trump announced plans to convert the USS Enterprise into a ""floating hotel and casino.""";false
"Celebrity Cruise lines released an ad saying that Donald Trump's supporters were no longer welcome on their ships.";mostly false
"A majority of anti-Trump protesters did not vote in the 2016 general election.";unproven
"A Mexican supermarket chain is adding ""donations"" for a U.S.-Mexico border wall to its charges.";FALSE
"A Rutgers University professor was forced into a psychological evaluation due to political tweets.";mixture
"Studies have demonstrated that cooking with aluminum foil can result in the ingestion of aluminum, which is a risk factor for Alzheimer's disease.";Mostly False
"Julian Assange asked President-Elect Donald Trump for a pardon in exchange for his help in defeating Hillary Clinton.";mostly false
"A photograph of a nude young man pictures Judge William Pryor, a potential Supreme Court nominee.";unproven
"A Republican Senate candidate called on Melania Trump to ""sterilize"" the White House after the ""animals"" leave.";false
"A fervent Hillary Clinton supporter ran her husband down with an SUV because she found out he voted for Donald Trump.";false
"Three million non-citzens voted illegally in the 2016 presidential election.";Unproven
"A new analysis of the residue on common American foods showed high levels of the herbicide glyphosate and Monsanto, the EPA, and the FDA are in cahoots to silence word of the chemical’s harmful effects and its high concentration in foods.";False
"The State of Texas announced it would no longer be issuing birth certificates to the children of undocumented immigrants.";Outdated
"A hunter from Michigan was nearly killed by a sexually voracious moose.";false
"Hillary Clinton threw a violent tantrum after losing the 2016 presidential election.";unproven
